RTOM,SOD NO,Service,Order Type,Time Range 
R-KI,BIA202010060082789,AB-CAB,CREATE,7D<T<=1M
R-KI,BIA202010060083571,AB-CAB,CREATE,7D<T<=1M
R-KI,BIA202010060083627,AB-CAB,CREATE,7D<T<=1M
R-KI,VR202010060087281,AB-CAB,CREATE,7D<T<=1M
R-KI,VR202010080046230,AB-CAB,CREATE,7D<T<=1M
R-KI,SIY202010120016684,AB-CAB,CREATE,7D<T<=1M
R-KI,VR202010170070145,AB-CAB,CREATE,7D<T<=1M
R-KI,KI202010180095988,AB-CAB,CREATE,7D<T<=1M
R-KI,MAN202010200038664,AB-CAB,CREATE,7D<T<=1M
R-KI,VR202010200044938,AB-CAB,CREATE,7D<T<=1M
R-KI,PUG202010230015633,AB-CAB,CREATE,3D<T<=7D
R-KI,KI202010240035330,AB-CAB,CREATE,3D<T<=7D
R-KI,DX202008180077663,AB-CAB,CREATE-RECON,T>1M
R-KI,BIA202010170062965,AB-CAB,CREATE-RECON,7D<T<=1M
R-KI,HEY201812180084775,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI201909030074725,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI201910030093255,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202001060042083,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,BIA202006120042086,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202006120053255,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,BIA202006200082947,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,BIA202006260038607,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,VR202007030056595,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202007110060462,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202007210023559,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,MAL202008180054548,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202008220032929,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202009020016360,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202009020016578,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,VR202009160018253,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,VR202009180088442,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KWL202009220077118,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202010030024538,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,MAN202010140065791,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,KWL202001230020398,AB-CAB,CREATE,T>1M
R-KI,KI202006110012070,AB-CAB,CREATE,T>1M
R-KI,SIY202006290011026,AB-CAB,CREATE,T>1M
R-KI,PUG202007010094851,AB-CAB,CREATE,T>1M
R-KI,KDW202007020034003,AB-CAB,CREATE,T>1M
R-KI,VR202007060091685,AB-CAB,CREATE,T>1M
R-KI,MAN202007070024926,AB-CAB,CREATE,T>1M
R-KI,MAL202007090091939,AB-CAB,CREATE,T>1M
R-KI,VR202007090001438,AB-CAB,CREATE,T>1M
R-KI,SIY202007170021414,AB-CAB,CREATE,T>1M
R-KI,KWL202007170033746,AB-CAB,CREATE,T>1M
R-KI,DX202007200004830,AB-CAB,CREATE,T>1M
R-KI,MAL202007240023794,AB-CAB,CREATE,T>1M
R-KI,SIY202007300091732,AB-CAB,CREATE,T>1M
R-KI,DX202008020043573,AB-CAB,CREATE,T>1M
R-KI,KDW202008140067991,AB-CAB,CREATE,T>1M
R-KI,VR202008140070282,AB-CAB,CREATE,T>1M
R-KI,DX202008170031359,AB-CAB,CREATE,T>1M
R-KI,KWL202008180069914,AB-CAB,CREATE,T>1M
R-KI,VR202008210003016,AB-CAB,CREATE,T>1M
R-KI,IHA202009020023135,AB-CAB,CREATE,T>1M
R-KI,IHA202009020026545,AB-CAB,CREATE,T>1M
R-KI,KWL202009140062593,AB-CAB,CREATE,T>1M
R-KI,IHA202009140065292,AB-CAB,CREATE,T>1M
R-KI,KWL202009150099813,AB-CAB,CREATE,T>1M
R-KI,KWL202009150004702,AB-CAB,CREATE,T>1M
R-KI,KWL202009150008207,AB-CAB,CREATE,T>1M
R-KI,PUG202009160028454,AB-CAB,CREATE,T>1M
R-KI,GIR202009230032224,AB-CAB,CREATE,T>1M
R-KI,DX202009240053200,AB-CAB,CREATE,T>1M
R-KI,PUG202009240053238,AB-CAB,CREATE,T>1M
R-KI,KWL202009250098427,AB-CAB,CREATE,T>1M
R-KI,VR202009300075701,AB-CAB,CREATE,7D<T<=1M
R-KI,MAL202009300086608,AB-CAB,CREATE,7D<T<=1M
R-KI,MAN202010030023415,AB-CAB,CREATE,7D<T<=1M
R-KI,KDW202010060082140,AB-CAB,CREATE,7D<T<=1M
R-KI,HEY202010070015792,AB-CAB,CREATE,7D<T<=1M
R-KI,BIA202010070019159,AB-CAB,CREATE,7D<T<=1M
R-KI,DG202010090088021,AB-CAB,CREATE,7D<T<=1M
R-KI,DG202010090089659,AB-CAB,CREATE,7D<T<=1M
R-KI,DX202010100095949,AB-CAB,CREATE,7D<T<=1M
R-KI,HEY202010160028589,AB-CAB,CREATE,7D<T<=1M
R-KI,GIR202010170064722,AB-CAB,CREATE,7D<T<=1M
R-KI,HEY202010190004346,AB-CAB,CREATE,7D<T<=1M
R-KI,KDW202010200033034,AB-CAB,CREATE,7D<T<=1M
R-KI,BIA202010210066635,AB-CAB,CREATE,7D<T<=1M
R-KI,BIA202010220086298,AB-CAB,CREATE,7D<T<=1M
R-KI,SIY202010290008921,AB-CAB,CREATE,T<=3D
R-KI,KI202010080037967,AB-CAB,CREATE-OR,7D<T<=1M
R-KI,KDW202010210069872,AB-CAB,CREATE-OR,7D<T<=1M
R-KI,KDW202001130098550,AB-CAB,CREATE-RECON,T>1M
R-KI,DG202007020014036,AB-CAB,CREATE-RECON,T>1M
R-KI,VR202007060089837,AB-CAB,CREATE-RECON,T>1M
R-KI,VR202007080073657,AB-CAB,CREATE-RECON,T>1M
R-KI,KWL202007170025690,AB-CAB,CREATE-RECON,T>1M
R-KI,KI202007170040297,AB-CAB,CREATE-RECON,T>1M
R-KI,VR202009300086714,AB-CAB,CREATE-RECON,7D<T<=1M
R-KI,KI201904060085482,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,MAL201911070038077,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,BIA201911230021362,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202006030073832,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,VR202006290001914,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,IHA202006300034199,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KWL202007070039998,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,MAN202007160099949,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202007210025039,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202007210025321,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,MAN202008150089766,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202008260099317,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KDW202008260014606,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,MAN202009070089735,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,PUG202009290053064,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KDW202009290054847,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KDW202010150000339,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,KDW202010160033800,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,KWL202010210075331,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,BIA202010220086281,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,IHA201903110009576,AB-CAB,CREATE,T>1M
R-KI,KI202005200007607,AB-CAB,CREATE,T>1M
R-KI,KI202005200009413,AB-CAB,CREATE,T>1M
R-KI,VR202006160044279,AB-CAB,CREATE,T>1M
R-KI,KI202006180017483,AB-CAB,CREATE,T>1M
R-KI,KWL202006180030934,AB-CAB,CREATE,T>1M
R-KI,IHA202006260052699,AB-CAB,CREATE,T>1M
R-KI,KWL202006270066663,AB-CAB,CREATE,T>1M
R-KI,DX202006300035621,AB-CAB,CREATE,T>1M
R-KI,BIA202007100027124,AB-CAB,CREATE,T>1M
R-KI,KWL202008040066952,AB-CAB,CREATE,T>1M
R-KI,KWL202008060083426,AB-CAB,CREATE,T>1M
R-KI,VR202008170017019,AB-CAB,CREATE,T>1M
R-KI,VR202008240056451,AB-CAB,CREATE,T>1M
R-KI,DX202008260014628,AB-CAB,CREATE,T>1M
R-KI,KI202008280043706,AB-CAB,CREATE,T>1M
R-KI,MAL202008290067707,AB-CAB,CREATE,T>1M
R-KI,KI202008290070841,AB-CAB,CREATE,T>1M
R-KI,GIR202009080019651,AB-CAB,CREATE,T>1M
R-KI,KI202009090057410,AB-CAB,CREATE,T>1M
R-KI,VR202009100086762,AB-CAB,CREATE,T>1M
R-KI,KI202009120041133,AB-CAB,CREATE,T>1M
R-KI,BIA202009160028854,AB-CAB,CREATE,T>1M
R-KI,KWL202009160032162,AB-CAB,CREATE,T>1M
R-KI,KDW202009170046988,AB-CAB,CREATE,T>1M
R-KI,VR202009220090521,AB-CAB,CREATE,T>1M
R-KI,DX202009240053206,AB-CAB,CREATE,T>1M
R-KI,BIA202009280046080,AB-CAB,CREATE,T>1M
R-KI,VR202009290053110,AB-CAB,CREATE,T>1M
R-KI,MAL202009300086612,AB-CAB,CREATE,7D<T<=1M
R-KI,GIR202009300086631,AB-CAB,CREATE,7D<T<=1M
R-KI,DX202009300086727,AB-CAB,CREATE,7D<T<=1M
R-KI,KDW202009300086776,AB-CAB,CREATE,7D<T<=1M
R-KI,HEY202010020005826,AB-CAB,CREATE,7D<T<=1M
R-KI,IHA202010020008354,AB-CAB,CREATE,7D<T<=1M
R-KI,KI202010020012936,AB-CAB,CREATE,7D<T<=1M
R-KI,KWL202010050051948,AB-CAB,CREATE,7D<T<=1M
R-KI,KWL202010050061331,AB-CAB,CREATE,7D<T<=1M
R-KI,IHA202010080043418,AB-CAB,CREATE,7D<T<=1M
R-KI,HEY202010080059680,AB-CAB,CREATE,7D<T<=1M
R-KI,PUG202010130048227,AB-CAB,CREATE,7D<T<=1M
R-KI,HEY202010130048258,AB-CAB,CREATE,7D<T<=1M
R-KI,MAN202010130051237,AB-CAB,CREATE,7D<T<=1M
R-KI,KDW202010160045397,AB-CAB,CREATE,7D<T<=1M
R-KI,MAN202010170056196,AB-CAB,CREATE,7D<T<=1M
R-KI,KI202010190004375,AB-CAB,CREATE,7D<T<=1M
R-KI,VR202010190012180,AB-CAB,CREATE,7D<T<=1M
R-KI,VR202010230013788,AB-CAB,CREATE,3D<T<=7D
R-KI,KI202010230025228,AB-CAB,CREATE,3D<T<=7D
R-KI,BIA202006110018927,AB-CAB,CREATE-RECON,T>1M
R-KI,KI202010210066663,AB-CAB,CREATE-RECON,7D<T<=1M
R-KI,KI201810020014500,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI201810060016708,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,MAN201906100001539,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KWL201907060073844,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KWL202002070082710,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202006030073700,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202006150023714,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KWL202006270074174,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202006300037340,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202006300048996,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,SIY202007130080878,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202007210024920,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KWL202007290059946,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,MAN202008020043518,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,DX202008080014471,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,MAN202008130037619,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202008190011608,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,HEY202008260005341,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202009030030001,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,KI202009110019198,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,GIR202009230032228,AB-CAB,MODIFY-LOCATION,T>1M
R-KI,IHA202010100096164,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,KDW202010200033026,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,PUG202010220086263,AB-CAB,MODIFY-LOCATION,7D<T<=1M
R-KI,KI202006140088154,AB-CAB,CREATE,T>1M
R-KI,KWL202006160058363,AB-CAB,CREATE,T>1M
R-KI,MAL202006180017466,AB-CAB,CREATE,T>1M
R-KI,DX202006200091664,AB-CAB,CREATE,T>1M
R-KI,VR202006290098821,AB-CAB,CREATE,T>1M
R-KI,KI202006290010968,AB-CAB,CREATE,T>1M
R-KI,MAL202006300034313,AB-CAB,CREATE,T>1M
R-KI,KWL202007010087294,AB-CAB,CREATE,T>1M
