RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-ND,ND202204040003736,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,RESOLVE CONST ISSUE,ND-CPE-NC,08-APR-22
R-ND,EMU202101070088194,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,12-JAN-21
R-ND,GNA202203180005455,AB-FTTH,CREATE-UPGRD SAME NO,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,23-MAR-22
R-ND,BS202204080045728,AB-FTTH,CREATE,T<=7D,ASSIGN ONT,ND-RTOFFICE,08-APR-22
R-ND,BS202204070001768,AB-FTTH,CREATE,T<=7D,RESOLVE CONST ISSUE,ND-RTOFFICE,08-APR-22
R-ND,ND202203310077194,AB-FTTH,CREATE,7D<T<=10D,RESOLVE CONST ISSUE,ND-CNR,07-APR-22
R-ND,EMU202203290030229,AB-FTTH,CREATE-UPGRD SAME NO,7D<T<=10D,RESOLVE CONST ISSUE,ND-CNR,04-APR-22
R-ND,BS202204070099459,AB-FTTH,CREATE,T<=7D,CONSTRUCT OSP,ND-CPE-NC,07-APR-22
R-ND,ND202108190073217,AB-FTTH,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-ENT-MB-ACCM,20-AUG-21
R-ND,EMU202203250037149,AB-FTTH,CREATE,10D<T<=1M,RECONSTRUCT OSP,ND-CNR,26-MAR-22
R-ND,GNA202203220082245,AB-FTTH,CREATE-UPGRD SAME NO,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,25-MAR-22
R-ND,ND202002230041652,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,28-FEB-20
R-ND,ND202011160012570,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,25-NOV-20
R-ND,EMU202105200033777,AB-FTTH,CREATE-OR,T>1M,WAIT FOR FAB,ND-RSFU,22-MAY-21
R-ND,ND202204060054347,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,RESOLVE CONST ISSUE,ND-CNR,07-APR-22
R-ND,GNA202102080037038,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,16-FEB-21
R-ND,ND202203310074240,AB-FTTH,CREATE-UPGRD SAME NO,7D<T<=10D,RECONSTRUCT OSP,ND-CNR,04-APR-22
R-ND,ND202203150010467,AB-FTTH,CREATE,10D<T<=1M,WAIT COMPLETE CHILD,ND-RTOFFICE,15-MAR-22
R-ND,BS202204080041858,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONSTRUCT OSP,ND-CPE-NC,08-APR-22
R-ND,ND202203280082409,AB-FTTH,CREATE,10D<T<=1M,RESOLVE CONST ISSUE,SALES-SME-METS-ACCM,29-MAR-22
R-ND,EMU202204050043612,AB-FTTH,CREATE-OR,T<=7D,RESOLVE CONST ISSUE,ND-CPE-NC,08-APR-22
R-ND,ND202010120012005,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,15-OCT-20
R-ND,ND202110060068160,AB-FTTH,CREATE,T>1M,RECONSTRUCT OSP,SALES-ENT-LB-ACCM,07-OCT-21
R-ND,EMU202203210055179,AB-FTTH,CREATE-UPGRD SAME NO,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,25-MAR-22
R-ND,ND202203280093430,AB-FTTH,CREATE,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,29-MAR-22
R-ND,ND202203210046452,AB-FTTH,CREATE,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,23-MAR-22
R-ND,ND202204060069494,AB-FTTH,MODIFY-LOCATION,T<=7D,RESOLVE CONST ISSUE,ND-RTOFFICE,06-APR-22
R-ND,KIR202106150094918,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,RESOLVE CONST ISSUE,SALES-SME-METS-ACCM,18-JUN-21
